NUTS YYYY MM 0 BAREA
DE413 2005 03 2 0.0187005
DE413 2005 04 3 0.16555
DE413 2006 04 3 0.102182
DE413 2006 05 5 0.815426
DE413 2006 07 5 7.32987
DE413 2006 09 2 0.299483
DE413 2006 10 2 0.134471
DE413 2006 11 2 0.00139426
DE414 1998 03 2 0.363849
DE414 1998 05 3 0.347403
DE414 1998 06 4 2.88662
DE414 1998 07 3 0.0392562
DE414 1998 08 4 0.49688
DE414 1999 07 4 3.66707
DE414 1999 08 2 0.0088249
DE414 1999 09 5 0.220678
DE414 1999 10 3 0.0750015
DE414 2000 06 4 1.32272
DE414 2000 07 2 0.0419649
DE414 2000 08 2 2.10543
DE414 2001 05 2 0.128885
DE414 2002 05 2 0.00790377
DE414 2002 08 2 0.347406
DE414 2002 09 3 1.27069
DE414 2002 10 2 0.0957212
DE414 2003 03 3 1.18491
DE414 2003 04 4 1.7882
DE414 2003 05 5 0.742903
DE414 2003 06 2 0.00525537
DE414 2003 07 3 0.749055
DE414 2003 08 3 1.75443
DE414 2004 03 4 1.97627
DE414 2004 04 3 1.00275
DE414 2004 07 2 0.00795488
DE414 2005 04 2 12.8237
DE414 2005 05 3 0.182478
DE414 2005 06 2 0.051172
DE414 2006 05 5 1.88579
DE414 2006 06 3 0.470848
DE414 2006 07 4 11.9673
DE414 2006 08 2 0.0490289
DE414 2006 09 3 0.694654
DE415 1998 02 3 0.20879
DE415 1998 03 3 0.0162351
DE415 1998 05 3 1.74778
DE415 1998 06 3 0.0208709
DE415 1998 07 3 0.27388
DE415 1998 08 3 1.21651
DE415 1999 03 2 0.0101451
DE415 1999 04 3 0.407166
DE415 1999 05 3 2.39059
DE415 1999 06 3 2.85613
DE415 1999 07 3 1.95067
DE415 1999 08 3 11.2052
DE415 1999 09 3 6.63033
DE415 2000 04 3 2.02227
DE415 2000 05 3 16.2333
DE415 2000 06 3 20.4108
DE415 2000 08 4 0.0271066
DE415 2001 04 4 2.28365
DE415 2001 05 4 3.72977
DE415 2001 06 4 0.728217
DE415 2001 07 4 2.60132
DE415 2001 08 4 0.400608
DE415 2002 04 5 0.356472
DE415 2002 06 4 0.333388
DE415 2002 07 4 0.645433
DE415 2002 08 4 0.199384
DE415 2003 02 2 0.0120666
DE415 2003 03 5 0.27744
DE415 2003 04 5 4.7018
DE415 2003 05 5 2.60197
DE415 2003 06 5 3.67264
DE415 2003 07 5 1.35177
DE415 2003 08 5 1.02374
DE415 2003 09 5 2.54038
DE415 2004 04 5 2.13174
DE415 2004 05 2 0.59346
DE415 2004 06 2 0.53308
DE415 2004 07 2 0.191283
DE415 2004 08 2 0.26141
DE415 2004 09 3 0.0237742
DE415 2005 03 2 0.0212352
DE415 2005 04 3 0.355172
DE415 2005 05 4 0.167359
DE415 2005 06 4 0.204903
DE415 2005 07 4 0.221021
DE415 2006 05 4 0.535989
DE415 2006 06 4 1.54183
DE415 2006 07 4 45.7763
DE415 2006 09 3 2.31642
DE416 1998 06 3 0.0236748
DE416 1998 08 3 0.260007
DE416 1999 05 4 1.69441
DE416 1999 06 3 0.0426324
DE416 1999 07 2 0.0131683
DE416 1999 08 4 0.593951
DE416 1999 09 2 0.347715
DE416 2000 04 2 0.0309402
DE416 2000 05 2 0.207631
DE416 2000 06 3 1.2754
DE416 2001 05 2 0.0665954
DE416 2002 04 2 0.0711995
DE416 2002 06 4 0.371055
DE416 2002 09 2 0.0350267
DE416 2003 05 4 0.211562
DE416 2003 06 2 0.444991
DE416 2003 07 2 0.105896
DE416 2003 08 4 0.964785
DE416 2004 04 2 0.114188
DE416 2004 05 2 0.302628
DE416 2004 08 2 0.00156981
DE416 2005 04 2 0.0285458
DE416 2005 07 2 0.0706065
DE416 2006 05 3 0.148617
DE416 2006 07 2 0.398726
DE417 1998 05 2 0.0931233
DE417 1998 06 2 0.0117269
DE417 1998 08 2 0.227174
DE417 1999 05 2 0.0071362
DE417 1999 07 4 0.84376
DE417 1999 08 2 0.0310437
DE417 2000 05 2 1.31603
DE417 2000 06 2 0.477614
DE417 2000 08 2 0.0629067
DE417 2001 05 4 0.165737
DE417 2003 03 4 1.81684
DE417 2003 04 3 0.0610802
DE417 2003 05 3 4.79446
DE417 2003 06 3 3.27555
DE417 2003 07 4 0.673915
DE417 2003 08 4 0.157456
DE417 2004 05 2 0.0439774
DE417 2004 08 3 0.387086
DE417 2004 09 2 0.00288114
DE417 2005 04 5 0.347789
DE417 2005 06 4 1.28673
DE417 2006 06 2 0.13546
DE417 2006 07 3 0.30921
DE418 1998 03 4 3.13756
DE418 1998 04 3 0.163528
DE418 1998 05 3 2.43519
DE418 1998 06 3 0.370169
DE418 1998 07 3 3.51113
DE418 1998 08 5 0.863216
DE418 1999 07 3 0.548349
DE418 1999 08 2 0.0216208
DE418 1999 09 2 0.141783
