longitude,latitude,mean,std,cv,lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,RVunif,bcmean,RVunif_bc
-94.8753389,38.8816389,2.12,0.8352,0.394,1,0,0,10,1,29,51,0,6,0,0,1,7083,67,189,20,62,24,51,25,4,23,1502,240,4,126,115,29,9647,318,-74,392,225,-2,246,-2,74607,10924,2239,44,28022,7368,28022,7368,321,31,2,33.6893156102807,0.73626842836033,2.89117873529476
-94.8625,39.7541666666666,3.1833,1.19105,0.37355,6,0,0,7,10,45,30,0,0,0,1,1,37186350,-92.5,39.5,20,71,44,38,18,7,24,1420,240,5,66,147,33,10021,295,-146,441,169,-64,195,-64,805205056,132393808,25695104,53,354412832,81285608,354412832,81285608,1095,138,7,35.8337518179024,1.12221023681405,3.35986677535511
-94.8563398,35.7850906,1.6333,0.5987,0.3403,0,0,41,21,0,12,26,0,0,0,0,0,35814,36,168,23,53,39,37,24,8,15,1507,240,8,153,127,34,8334,333,-36,369,198,41,257,41,389316,48652,17435,26,125713,63009,125713,63009,309,110,2,16.9104316423065,0.484114877417869,0.448663564063933
-94.8385633,35.9212004,2.3589,0.7334,0.3113,1,0,40,18,0,11,31,0,0,0,0,0,128165,33,165,22,52,40,37,23,8,14,1506,240,7,150,128,34,8328,331,-39,370,195,38,254,38,1395458,170607,64804,24,440489,235723,440489,235723,349,127,2,53.6462987304604,0.838474708567879,2.84766280949272
-94.7836175,45.3771864,3.0857,0.6081,0.1971,1,0,0,7,0,14,76,0,0,0,0,1,53561,6,131,26,62,33,49,18,4,22,1539,240,1,60,118,25,12030,285,-184,469,206,-105,206,-105,643017,99429,16999,51,267952,55401,267952,55401,393,15,3,46.0692548149055,1.0929462514919,-1.10816908469965
-94.7827283,36.1042527,2.9714,0.6026,0.2134,0,0,17,9,0,17,55,0,2,0,0,0,321921,24,158,20,53,40,37,23,7,14,1525,240,7,143,129,34,8403,325,-47,372,189,31,248,31,3600944,432561,168601,24,1147520,609339,1147520,609339,373,83,4,51.3608000916954,1.057408212357,0.858027462691944
-94.7763388,36.3553592,3.79,1.5825,0.4068,0,0,18,7,0,23,53,0,0,0,0,0,22176,55.5,190,20,54,39,37,24,7,14,1518,240,8,146,130,34,8469,330,-46,376,193,32,252,32,244268,28710,10909,26,78123,39213,78123,39213,325,59,1,43.7704132016514,1.28523568328195,-1.65466221923652
-94.7186111,38.9127778,2.34,0.6468,0.2764,6,0,0,11,0,14,33,0,36,0,0,0,1641,-45,64,18,64,25,50,26,4,24,1515,240,5,125,114,29,9622,316,-73,389,224,-2,245,-2,51505,7370,1560,44,19334,5109,19334,5109,319,35,1,42.1516104682068,0.830795408028123,-0.0239621372214263
-94.7068913,36.1864725,3.3273,0.6882,0.1836,0,0,12,8,0,18,61,0,1,0,0,0,48672,27,159,20,54,40,37,24,7,14,1520,240,8,145,129,34,8453,328,-47,375,191,31,250,31,547006,65078,25078,25,174630,90403,174630,90403,358,52,2,14.5130170722213,1.16370266916677,2.10618686234523
-94.6991667,48.8369444,0.9788,0.292,0.2983,13,0,3,38,2,0,9,0,0,0,0,30,581489,-25,91,86,54,56,33,10,9,18,1349,240,2,24,111,22,12665,253,-232,485,177,-150,177,-150,8882875,1323004,259309,49,3705707,975228,3705707,975228,345,34,0,41.0751707675406,-0.021440438801615,1.80213623646973
-94.6969444,38.9272222,4.13,0.7697,0.1835,6,0,0,12,0,12,26,0,44,0,0,0,5529,11.5,126,19,64,24,49,26,4,25,1515,240,6,126,114,29,9633,316,-73,389,224,-2,245,-2,88297,12566,2700,44,33124,8776,33124,8776,314,44,1,53.1214875377894,1.3649552430131,-1.69665727767958
-94.6875,36.3291666666667,4.7333,0.7386,0.156,0,0,21,8,0,13,58,0,0,0,0,0,61389,24,157,21,53,39,37,24,7,15,1514,240,8,142,131,34,8449,327,-49,376,189,29,248,29,696739,82526,31546,25,223404,114557,223404,114557,364,60,2,15.8956034836626,1.49071154332955,1.30865458190529
-94.6836111,36.5488889,3.20225,0.7267,0.2311,0,0,7,6,0,22,65,0,0,0,0,0,22424.5,52,188.5,18,55,38,37,25,7,14,1528,240,7,143,132,35,8514,328,-49,377,191,29,250,29,248258,29058,10895,26,79507,39260,79507,39260,318,55,2,21.5783486176264,1.12778236484472,-2.15035614355344
-94.6458333333334,38.9041666666667,2.32,0.3868,0.1667,2,1,0,8,1,20,53,0,16,0,0,0,5021,0,120,18,64,24,50,26,4,24,1513,240,6,126,114,29,9654,316,-74,390,224,-3,246,-3,76593,10909,2412,44,28663,7685,28663,7685,309,49,1,43.7610856655645,0.822597616813825,1.53226640682462
-94.6413889,36.3347222,6.3,1.2702,0.2016,0,0,22,8,0,11,58,0,0,0,0,0,52098,78,214,22,53,39,37,24,7,15,1515,240,8,141,131,34,8444,326,-50,376,188,28,247,28,547785,64924,24817,25,175825,90298,175825,90298,373,63,2,4.26341527190097,1.75142362196219,3.45716652945072
-94.6341667,38.9355556,3.62,0.44,0.1215,5,0,0,10,0,11,22,0,51,0,0,0,9140,1,119,20,64,24,50,27,4,26,1514,240,7,126,113,29,9642,316,-73,389,224,-2,246,-2,139453,19733,4325,44,52259,13927,52259,13927,308,52,1,19.6622938224114,1.24249834722607,2.66139430782919
-94.6291666666667,34.8541666666667,0.8945,0.34245,0.38505,22,0,18,51,0,2,7,0,0,0,0,0,203962,60.5,206.5,25,52,43,37,20,10,15,1520,240,8,156,142,38,8026,340,-33,373,156,49,257,49,2249664,293338,110745,22,701262,413350,701262,413350,296,222,4,23.9021306678342,-0.111829090587877,2.6630422851534
