ID NUTS YYYY MM 0 BAREA
360 BG424 2005 10 4 0.870632
361 BG424 2006 03 4 5.44071
362 BG424 2006 04 2 3.36076
363 BG424 2006 08 2 0.415581
364 BG424 2006 09 4 21.6579
365 BG424 2006 11 4 5.92479
366 BG424 2006 12 3 1.67281
367 BG424 2007 01 5 4.48651
368 BG424 2007 02 3 5.26365
369 BG424 2007 03 3 13.9579
370 BG424 2007 04 3 16.2728
371 BG424 2007 05 5 0.54032
372 BG424 2007 07 5 319.625
373 BG424 2007 08 5 1.38762
374 BG424 2007 09 3 3.73571
375 BG425 2005 03 3 0.188194
376 BG425 2005 04 5 2.46982
377 BG425 2005 06 2 0.27944
378 BG425 2005 07 2 0.592672
379 BG425 2005 09 4 0.186785
380 BG425 2006 04 2 0.145462
381 BG425 2006 05 5 0.372905
382 BG425 2006 06 3 0.132586
383 BG425 2006 07 2 0.29301
384 BG425 2006 08 4 0.710985
385 BG425 2006 09 4 1.90201
386 BG425 2007 01 5 1.0197
387 BG425 2007 02 2 0.134967
388 BG425 2007 03 2 6.44724
389 BG425 2007 04 2 9.75379
390 BG425 2007 05 3 0.422148
391 BG425 2007 06 2 1.69251
392 BG425 2007 07 2 34.3116
393 BG425 2007 08 4 0.73277
394 BG425 2007 09 3 2.6549
395 CY000 2000 01 3 0.20086
396 CY000 2000 02 4 4.65991
397 CY000 2000 03 4 11.1362
398 CY000 2000 04 4 21.2907
399 CY000 2000 05 4 70.5618
400 CY000 2000 06 4 8272.33
401 CY000 2000 07 4 250.715
402 CY000 2000 08 4 277.404
403 CY000 2000 09 4 113.68
404 CY000 2000 10 4 265.5
405 CY000 2000 11 4 353.015
406 CY000 2000 12 5 16.7437
407 CY000 2001 01 4 0.762476
408 CY000 2001 02 4 2.80746
409 CY000 2001 03 4 4.05461
410 CY000 2001 04 4 14.9135
411 CY000 2001 05 4 192.847
412 CY000 2001 06 4 3209
413 CY000 2001 07 4 1366.72
414 CY000 2001 08 4 258.869
415 CY000 2001 09 4 55.9374
416 CY000 2001 10 4 74.6056
417 CY000 2001 11 4 5.39532
