"x","y"
605602.916045508,4845636.67918382
605603.204509122,4845618.46463002
605603.399749244,4845606.13648719
605581.019933657,4845605.78209721
605581.609044529,4845568.57554158
605582.488307736,4845513.04337285
605571.620260522,4845512.87130432
605560.108180902,4845512.68905847
605560.600460357,4845481.59104615
605538.220229227,4845481.23680706
605540.17132679,4845357.95541601
605517.710175958,4845357.59997885
605519.172282788,4845265.1944831
605541.633744968,4845265.5499198
605544.073402396,4845111.39270223
605477.093515538,4845110.11085938
605477.578319306,4845079.45712344
605455.196743297,4845079.10318637
605455.684953993,4845048.22732347
605433.303274445,4845047.87346169
605433.791378991,4845016.99760038
605411.32908589,4845016.64254142
605411.82059468,4844985.54455322
605389.438707303,4844985.1908423
605389.766893827,4844964.42182963
605389.926599159,4844954.31498415
605376.964366991,4844954.11017163
605367.544608237,4844953.96134853
605368.80793299,4844873.99510428
605370.460757605,4844769.37261588
605392.850387991,4844769.28199377
605393.334752518,4844738.62827401
605415.717467613,4844738.9819837
605416.205443189,4844708.10613684
605438.668775782,4844708.46119425
605439.156852883,4844677.58534863
605461.5397755,4844677.93920855
605462.027953753,4844647.06336423
605484.410980135,4844647.41729914
605484.899259538,4844616.54145609
605507.282389675,4844616.89546598
605507.767256707,4844586.24175254
605529.908944181,4844586.59201595
605530.397424781,4844555.71617542
605552.861277289,4844556.07160855
605553.021209121,4844545.96476894
605554.812075855,4844432.79038849
605577.204615865,4844432.58930155
605578.176691405,4844371.17082806
605600.560650406,4844371.52513671
605601.051182991,4844340.53824161
605645.819309368,4844341.24708402
605646.308288552,4844310.37125416
605685.391475135,4844308.99066965
605687.564563587,4844298.91572477
605691.565806629,4844280.20456806
605702.194309329,4844280.37296974
605758.557581646,4844281.26629207
605759.531280181,4844219.84783031
605737.146802922,4844219.49299701
605737.637946308,4844188.50610812
605738.127326815,4844157.63028479
605715.742642022,4844157.27552694
605715.943280014,4844144.61421854
605716.231916386,4844126.39970517
605707.052542744,4844126.25425072
605694.008169708,4844126.04757402
605694.416397221,4844100.28070241
605694.98122638,4844064.62912739
605672.596232011,4844064.27451974
605673.087051569,4844033.28763846
605661.330848871,4844033.10143584
605628.316855158,4844032.57864888
605628.805705725,4844001.70283346
605561.650101041,4844000.6399131
605562.142152846,4843969.54197141
605316.145364208,4843965.65419738
605316.632759974,4843934.77838701
605249.476535979,4843933.71862091
605249.954857896,4843903.39813271
605227.569348353,4843903.04502777
605228.058076349,4843872.05815679
605160.901236373,4843870.99929327
605161.391400422,4843839.90136015
605139.166731271,4843839.55109396
605139.65328876,4843808.67529054
605072.495826098,4843807.61732797
605072.9820702,4843776.74152643
604938.827575933,4843774.63016394
604939.309702837,4843743.97649282
604894.537649936,4843743.2724613
604895.023060775,4843712.39666386
604827.864671377,4843711.34118057
604828.349768839,4843680.46538503
604761.352121596,4843679.41310714
604761.836906432,4843648.53731347
604739.450569935,4843648.18586116
604739.935248661,4843617.3100691
604717.548808642,4843616.95869208
604718.033381259,4843586.08290159
604695.646837729,4843585.73159986
604695.913468883,4843568.73880941
604696.127818876,4843555.07793895
604673.741172574,4843554.72671251
604674.225532994,4843523.85092518
604651.838783173,4843523.49977404
604652.323037487,4843492.62398831
604629.936184156,4843492.27291245
604630.17825857,4843476.83502018
604630.907961151,4843430.29921765
604608.681957927,4843429.95074216
604610.27336187,4843328.43828727
604612.063224028,4843214.26456002
604634.289945921,4843214.61303443
604641.065742137,4842782.46343045
604663.454977632,4842782.81450273
604664.418139802,4842721.39619285
604686.807581526,4842721.74733996
604688.262196781,4842629.00903422
604710.651949825,4842629.36025599
604711.136339542,4842598.48451141
604688.746482886,4842598.13328979
604689.230766513,4842567.25754678
604711.62072678,4842567.60876824
604718.394918688,4842135.79276915
604696.003509407,4842135.44154987
604696.971999885,4842073.69010816
604674.580383506,4842073.33896433
604675.061038426,4842042.68537326
604652.669319308,4842042.33430472
604653.153351164,4842011.45858774
604630.922620806,4842011.11011936
604631.890471371,4841949.35869
604609.498441672,4841949.00777167
604609.985740334,4841917.90993188
604587.593606406,4841917.55908884
604588.554067844,4841856.25192351
604566.161728322,4841855.90115591
604568.579720343,4841701.52263131
604546.186862942,4841701.17193963
604546.670350322,4841670.29623918
604569.063311319,4841670.6469307
604570.997650464,4841547.1441425
604615.784401546,4841547.84574969
604616.264706865,4841517.19218318
604638.65818543,4841517.54309932
604639.625956785,4841455.79171571
604661.858536991,4841456.14018129
604662.347744643,4841424.93130058
604707.135326126,4841425.63350651
604707.619515612,4841394.75781781
604730.013410114,4841395.10903331
604730.48899047,4841364.78866402
604797.670979849,4841365.84276087
604798.645404678,4841303.75819849
604843.433814767,4841304.46130476
604843.918615889,4841273.58562083
604888.546123473,4841274.28649654
604889.031128545,4841243.41081375
604933.819953904,4841244.11451938
604934.305163669,4841213.23883768
604979.094196663,4841213.94284353
604979.574372847,4841183.40035375
605001.807879616,4841183.74993575
605003.266163111,4841091.01183847
604958.637417288,4841090.31021708
604959.122718233,4841059.43454239
604824.913633531,4841057.32641112
604824.428953354,4841088.20208487
604757.244165632,4841087.14776687
604757.728535052,4841056.2720936
604690.543437603,4841055.21845227
604691.022270173,4841024.67597157
604646.393116923,4841023.97644483
604646.878704686,4840992.98971162
604602.088227898,4840992.28795981
604603.05550073,4840930.53662543
604580.660055343,4840930.18586254
604581.147063079,4840899.08807056
604558.751513474,4840898.73738297
604559.234936516,4840867.86171969
604536.839283448,4840867.51110739
604537.798960793,4840806.20403951
604515.403102167,4840805.85350265
604516.372992964,4840743.88005965
604493.896365157,4840743.52833772
604494.379464727,4840712.65268204
604382.559739972,4840710.90402247
604383.038848129,4840680.25049603
604315.850032034,4840679.20068973
604315.371232378,4840709.8542157
604248.343849328,4840708.80760022
604247.86188764,4840739.68325418
604158.277628132,4840738.28546248
604158.759175504,4840707.40980916
604136.363007325,4840707.06054922
604136.840985053,4840676.40702449
604092.209567644,4840675.71124164
604091.731794842,4840706.36476606
604069.335627005,4840706.01573098
604069.813296973,4840675.36220672
604025.020755996,4840674.66436228
604025.501677731,4840643.78871275
603980.708930045,4840643.09116914
603981.670351816,4840581.33987504
603959.273770992,4840580.99121626
603960.712116919,4840488.5864132
603938.315226219,4840488.23783001
603939.760153596,4840395.38878649
603984.554558037,4840396.08602705
603985.035250457,4840365.21039072
603940.24063887,4840364.51315048
603940.714208278,4840334.08176962
603963.111616101,4840334.43035202
603963.59220006,4840303.55471871
604008.38722317,4840304.25210859
604008.871470712,4840273.15434953
604031.269086766,4840273.50315701
604031.749976497,4840242.6275261
604098.943136036,4840243.67439886
604098.461935593,4840274.55003025
