NUTS YYYY MM 0 BAREA
BG411 2006 09 3 0.769804
BG411 2006 10 2 0.861993
BG411 2006 11 2 0.119801
BG412 2006 01 2 0.863629
BG412 2006 03 2 25.9191
BG412 2006 04 4 0.878514
BG412 2006 05 2 0.621264
BG412 2006 08 5 5.98766
BG412 2006 09 5 15.6847
BG412 2006 10 2 0.0838813
BG412 2006 11 2 0.582587
BG412 2006 12 2 49.6206
BG413 2006 02 2 42.3976
BG413 2006 03 4 5.38129
BG413 2006 04 3 2.72704
BG413 2006 06 2 1.86938
BG413 2006 07 3 0.414349
BG413 2006 08 3 22.1535
BG413 2006 09 3 12.0215
BG414 2006 03 3 44.5425
BG414 2006 04 2 0.139433
BG414 2006 09 2 4.62588
BG414 2006 10 2 0.276052
BG415 2006 02 4 4.00813
BG415 2006 03 3 2.46103
BG415 2006 04 5 5.46104
BG415 2006 08 2 0.755646
BG415 2006 09 3 2.58218
BG415 2006 10 3 3.36504
BG415 2006 11 2 2.91194
BG415 2006 12 2 0.794779
BG421 2006 01 3 0.481229
BG421 2006 03 3 30.1665
BG421 2006 04 3 14.1157
BG421 2006 05 2 0.1245
BG421 2006 06 5 4.00158
BG421 2006 07 5 1
BG421 2006 08 4 1.44982
BG421 2006 09 4 61.2472
BG421 2006 11 3 36.602
BG422 2006 01 5 10.3281
BG422 2006 02 3 0.89011
BG422 2006 03 4 20.2
BG422 2006 04 3 7.0596
BG422 2006 06 2 14.2214
BG422 2006 07 2 145.893
BG422 2006 08 2 1127.15
BG422 2006 09 2 610.552
BG423 2006 01 3 8.83021
BG423 2006 02 4 29.5281
BG423 2006 03 4 7.75145
BG423 2006 04 2 0.99176
BG423 2006 05 3 0.761956
BG423 2006 07 4 3.2859
BG423 2006 08 5 30.869
BG423 2006 09 5 58.8844
BG423 2006 10 2 0.665435
BG423 2006 11 5 5.24478
BG423 2006 12 3 19.0336
BG424 2006 03 4 5.44071
BG424 2006 04 2 3.36076
BG424 2006 08 2 0.415581
BG424 2006 09 4 21.6579
BG424 2006 11 4 5.92479
BG424 2006 12 3 1.67281
BG425 2006 04 2 0.145462
BG425 2006 05 5 0.372905
BG425 2006 06 3 0.132586
BG425 2006 07 2 0.29301
BG425 2006 08 4 0.710985
BG425 2006 09 4 1.90201
CY000 2006 02 3 0.587406
CY000 2006 03 3 83.1106
CY000 2006 04 5 0.967452
CY000 2006 05 5 282.391
CY000 2006 06 5 358.534
CY000 2006 07 5 261.244
CY000 2006 08 5 40.6708
CY000 2006 09 5 195.93
CY000 2006 10 5 14.6292
CY000 2006 12 3 0.845538
CZ010 2006 05 4 0.023707
CZ010 2006 07 4 0.0753943
CZ010 2006 09 3 0.0131662
CZ020 2006 01 2 0.00492811
CZ020 2006 04 2 10.8473
CZ020 2006 05 2 18.1471
CZ020 2006 06 2 3.5218
CZ020 2006 07 2 10.1153
CZ020 2006 08 2 0.0108734
CZ020 2006 09 2 1.43463
CZ020 2006 10 2 0.117046
CZ020 2006 11 2 0.166974
CZ020 2006 12 2 0.00132759
CZ031 2006 04 5 0.422728
CZ031 2006 05 5 3.01639
CZ031 2006 06 2 0.129287
CZ031 2006 07 4 0.23045
CZ031 2006 09 3 0.120826
CZ031 2006 10 4 0.00803731
CZ031 2006 11 5 0.28404
CZ031 2006 12 5 0.691518
CZ032 2006 04 2 7.39193
CZ032 2006 05 2 0.650117
CZ032 2006 06 2 0.576514
CZ032 2006 07 2 0.573189
CZ032 2006 08 3 0.0871045
CZ032 2006 09 3 0.577752
CZ032 2006 10 3 0.0238921
CZ032 2006 11 3 0.00869638
CZ032 2006 12 3 0.0428257
CZ041 2006 04 2 9.24986
CZ041 2006 05 4 1.01741
CZ041 2006 07 4 0.676825
CZ041 2006 08 3 0.247137
CZ041 2006 09 2 0.0297836
CZ041 2006 10 2 0.00172912
CZ041 2006 11 2 0.0129302
CZ042 2006 04 4 1.25128
CZ042 2006 05 4 7.61324
CZ042 2006 06 4 0.928723
CZ042 2006 07 4 261.418
CZ042 2006 08 2 0.00342008
CZ042 2006 09 2 2.18124
CZ042 2006 10 4 0.220816
CZ051 2006 03 2 0.00259678
CZ051 2006 04 4 0.194625
CZ051 2006 05 4 0.0434952
CZ051 2006 06 4 4.0513
CZ051 2006 07 4 5.56088
CZ051 2006 08 4 0.0422898
CZ051 2006 09 4 0.283525
CZ051 2006 10 4 0.0121199
CZ052 2006 04 2 0.188787
CZ052 2006 06 2 0.539782
CZ052 2006 07 2 3.05991
CZ052 2006 09 5 0.0859136
CZ052 2006 10 5 1.63926
CZ053 2006 04 2 0.0177711
CZ053 2006 05 4 0.519223
CZ053 2006 06 2 0.0620494
CZ053 2006 07 2 3.76085
CZ053 2006 08 2 0.0143413
CZ053 2006 09 3 2.51401
CZ061 2006 04 3 1.59017
CZ061 2006 05 4 0.0568428
