global_unique_identifier,latitude,longitude,scientific_name,observation_date,effort_distance_km,effort_area_ha,cartodb_id,created_at,updated_at
URN:CornellLabOfOrnithology:EBIRD:OBS176650028,4.6051,-74.3069,Lepidocolaptes lacrymiger,3/1/00,,,191590,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176663736,11.1098,-74.0448,Lepidocolaptes lacrymiger,9/15/02,,,191591,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176662323,11.1098,-74.0448,Lepidocolaptes lacrymiger,3/19/01,,,191660,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176634569,3.5176,-76.6203,Lepidocolaptes lacrymiger,8/17/94,,,191684,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS179183063,10.7035653,-62.6306625,Lepidocolaptes lacrymiger,2/10/93,12,,192423,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS179906408,-0.6049235,-77.8880882,Lepidocolaptes lacrymiger,7/12/04,,,192523,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS183607106,-0.6049235,-77.8880882,Lepidocolaptes lacrymiger,4/24/04,,,193459,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS203148767,-0.015922,-78.681206,Lepidocolaptes lacrymiger,9/1/01,,,195578,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS205081261,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,9/3/98,6.437,,196262,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS208821882,10.3690176,-67.5909777,Lepidocolaptes lacrymiger,2/9/96,,,199091,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS209976195,-16.2190681,-67.8195262,Lepidocolaptes lacrymiger,7/30/79,1,,199526,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS237062113,3.5666667,-76.5833333,Lepidocolaptes lacrymiger,11/2/03,,,203649,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS245839640,-0.1040782,-77.5881314,Lepidocolaptes lacrymiger,6/1/97,3.219,,205179,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS246218677,4.7109763,-75.4859447,Lepidocolaptes lacrymiger,10/9/89,2,,205764,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS240749116,4.5736015,-75.6498384,Lepidocolaptes lacrymiger,9/11/01,3,,207208,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS242376702,-10.6166667,-75.3333333,Lepidocolaptes lacrymiger,2/23/82,5,,207316,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS74967142,8.6216667,-71.0647222,Lepidocolaptes lacrymiger,7/19/01,,,218910,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
